Customer ID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RF_Score,Segment
12510.0,94,7,4195.45,2,5,5,25,Cant Loose
12511.0,63,1,3084.02,3,1,5,31,About to Sleep
12514.0,276,1,580.08,1,1,3,11,Hibernating
12516.0,65,2,1336.56,3,2,4,32,About to Sleep
12519.0,111,1,385.7,2,1,2,21,Hibernating
12523.0,9,12,2582.38,5,5,5,55,Champions
12524.0,23,9,6640.39,4,5,5,45,Loyal Customers
12525.0,133,3,973.73,2,3,3,23,At Risk
12527.0,129,2,386.8,2,2,2,22,Hibernating
12529.0,163,1,316.48,2,1,2,21,Hibernating
12530.0,50,5,2096.98,3,4,4,34,Loyal Customers
12531.0,321,1,1807.98,1,1,4,11,Hibernating
12533.0,262,2,1367.89,1,2,4,12,Hibernating
12537.0,43,1,732.94,3,1,3,31,About to Sleep
12538.0,13,1,276.5,5,1,2,51,New Customers
12539.0,85,3,5646.400000000001,2,3,5,23,At Risk
12540.0,13,16,8854.25,5,5,5,55,Champions
12542.0,119,2,481.88,2,2,2,22,Hibernating
12543.0,83,1,980.25,2,1,3,21,Hibernating
12547.0,135,1,175.78,2,1,1,21,Hibernating
12549.0,210,6,1575.68,1,4,4,14,At Risk
12553.0,20,2,916.47,4,2,3,42,Potential Loyalists
12554.0,83,1,468.5,2,1,2,21,Hibernating
12555.0,317,1,129.23,1,1,1,11,Hibernating
12557.0,6,4,6725.18,5,4,5,54,Champions
12562.0,20,2,1185.18,4,2,4,42,Potential Loyalists
12563.0,43,1,249.24,3,1,1,31,About to Sleep
12567.0,2,7,4308.58,5,5,5,55,Champions
12568.0,279,1,70.0,1,1,1,11,Hibernating
12570.0,317,1,77.52,1,1,1,11,Hibernating
12573.0,16,4,556.87,4,4,3,44,Loyal Customers
12575.0,92,2,622.82,2,2,3,22,Hibernating
12576.0,27,3,826.89,4,3,3,43,Potential Loyalists
12577.0,16,5,995.9499999999999,4,4,4,44,Loyal Customers
12578.0,20,2,1847.94,4,2,4,42,Potential Loyalists
12580.0,211,1,637.2,1,1,3,11,Hibernating
12582.0,57,2,1469.04,3,2,4,32,About to Sleep
12583.0,8,13,7166.0599999999995,5,5,5,55,Champions
12586.0,9,3,1865.73,5,3,4,53,Potential Loyalists
12588.0,34,3,743.88,4,3,3,43,Potential Loyalists
12589.0,56,6,4048.98,3,4,5,34,Loyal Customers
12591.0,25,2,899.3,4,2,3,42,Potential Loyalists
12592.0,154,3,2145.06,2,3,4,23,At Risk
12594.0,13,5,1751.89,5,4,4,54,Champions
12595.0,139,1,299.02,2,1,2,21,Hibernating
12598.0,98,3,1511.01,2,3,4,23,At Risk
12599.0,16,6,1264.14,4,4,4,44,Loyal Customers
12600.0,6,12,2444.88,5,5,5,55,Champions
12601.0,39,1,104.2,3,1,1,31,About to Sleep
12605.0,11,4,1232.95,5,4,4,54,Champions
12606.0,317,1,21.0,1,1,1,11,Hibernating
12608.0,39,1,415.79,3,1,2,31,About to Sleep
12609.0,9,6,2309.01,5,4,5,54,Champions
12613.0,23,5,3490.69,4,4,5,44,Loyal Customers
12615.0,48,4,3449.79,3,4,5,34,Loyal Customers
12616.0,23,1,417.8,4,1,2,41,Promising
12619.0,195,1,140.14,1,1,1,11,Hibernating
12621.0,0,16,11086.14,5,5,5,55,Champions
12623.0,51,6,3442.7400000000002,3,4,5,34,Loyal Customers
12625.0,144,2,2481.06,2,2,5,22,Hibernating
12629.0,20,2,1558.22,4,2,4,42,Potential Loyalists
12631.0,91,5,2841.07,2,4,5,24,At Risk
12632.0,155,2,804.88,2,2,3,22,Hibernating
12633.0,17,3,3514.18,4,3,5,43,Potential Loyalists
12634.0,170,2,490.0,2,2,2,22,Hibernating
12635.0,27,2,1241.23,4,2,4,42,Potential Loyalists
12636.0,373,1,141.0,1,1,1,11,Hibernating
12637.0,13,4,2318.41,5,4,5,54,Champions
12638.0,274,1,249.8,1,1,1,11,Hibernating
12639.0,69,2,826.27,3,2,3,32,About to Sleep
12643.0,20,6,5005.78,4,4,5,44,Loyal Customers
12644.0,65,3,1440.58,3,3,4,33,Need Attention
12645.0,44,4,1764.12,3,4,4,34,Loyal Customers
12647.0,2,27,14201.53,5,5,5,55,Champions
12648.0,72,3,793.95,2,3,3,23,At Risk
12649.0,17,5,1671.1399999999999,4,4,4,44,Loyal Customers
12651.0,13,3,263.75,5,3,2,53,Potential Loyalists
12652.0,69,1,97.05000000000001,3,1,1,31,About to Sleep
12653.0,161,1,1950.98,2,1,4,21,Hibernating
12655.0,58,1,261.35,3,1,2,31,About to Sleep
12656.0,60,3,2356.66,3,3,5,33,Need Attention
12661.0,71,1,162.0,2,1,1,21,Hibernating
12662.0,8,10,3138.2400000000002,5,5,5,55,Champions
12663.0,259,2,239.4,1,2,1,12,Hibernating
12664.0,149,2,1188.16,2,2,4,22,Hibernating
12665.0,52,2,250.6,3,2,1,32,About to Sleep
12666.0,29,1,1248.42,4,1,4,41,Promising
12668.0,13,6,7637.53,5,4,5,54,Champions
12670.0,20,2,764.24,4,2,3,42,Potential Loyalists
12671.0,241,1,2622.481,1,1,5,11,Hibernating
12672.0,230,1,211.15,1,1,1,11,Hibernating
12673.0,36,1,619.5,3,1,3,31,About to Sleep
12675.0,188,2,958.5,1,2,3,12,Hibernating
12676.0,43,5,1511.7,3,4,4,34,Loyal Customers
12677.0,190,2,395.1,1,2,2,12,Hibernating
12678.0,10,9,16652.72,5,5,5,55,Champions
12681.0,2,24,17080.74,5,5,5,55,Champions
12682.0,0,23,11745.69,5,5,5,55,Champions
12683.0,0,8,4220.21,5,5,5,55,Champions
12686.0,6,1,89.14,5,1,1,51,New Customers
12687.0,115,2,2138.91,2,2,4,22,Hibernating
12691.0,55,1,134.6,3,1,1,31,About to Sleep
12692.0,272,1,110.95,1,1,1,11,Hibernating
12693.0,31,3,847.11,4,3,3,43,Potential Loyalists
12694.0,56,1,973.68,3,1,3,31,About to Sleep
12695.0,163,3,825.02,2,3,3,23,At Risk
12696.0,69,2,851.91,3,2,3,32,About to Sleep
12698.0,225,1,339.75,1,1,2,11,Hibernating
12699.0,52,1,638.11,3,1,3,31,About to Sleep
12701.0,164,4,1648.7,2,4,4,24,At Risk
12703.0,268,3,722.98,1,3,3,13,At Risk
12705.0,18,5,4893.81,4,4,5,44,Loyal Customers
12708.0,3,9,2601.19,5,5,5,55,Champions
12709.0,1,20,21356.82,5,5,5,55,Champions
12711.0,246,2,1339.05,1,2,4,12,Hibernating
12712.0,0,10,2797.53,5,5,5,55,Champions
12714.0,23,7,9384.85,4,5,5,45,Loyal Customers
12717.0,225,1,277.93,1,1,2,11,Hibernating
12720.0,4,6,2478.94,5,4,5,54,Champions
12721.0,20,2,1356.95,4,2,4,42,Potential Loyalists
12724.0,18,3,1286.11,4,3,4,43,Potential Loyalists
12725.0,6,4,2266.76,5,4,5,54,Champions
12726.0,22,4,1405.5,4,4,4,44,Loyal Customers
12727.0,77,3,1698.8300000000002,2,3,4,23,At Risk
12728.0,18,1,233.84,4,1,1,41,Promising
12730.0,156,1,829.25,2,1,3,21,Hibernating
12731.0,77,5,6879.8,2,4,5,24,At Risk
12733.0,24,3,2040.92,4,3,4,43,Potential Loyalists
12734.0,9,2,529.25,5,2,3,52,Potential Loyalists
12737.0,133,2,3710.5,2,2,5,22,Hibernating
12738.0,7,1,155.35,5,1,1,51,New Customers
12739.0,20,2,1713.69,4,2,4,42,Potential Loyalists
12741.0,164,2,406.07,2,2,2,22,Hibernating
12742.0,260,1,1201.52,1,1,4,11,Hibernating
12744.0,94,4,4037.77,2,4,5,24,At Risk
12745.0,121,3,925.41,2,3,3,23,At Risk
12746.0,175,1,254.55,2,1,2,21,Hibernating
12747.0,4,16,5080.53,5,5,5,55,Champions
12748.0,0,144,22879.66,5,5,5,55,Champions
12749.0,34,4,2806.48,4,4,5,44,Loyal Customers
12751.0,79,1,268.27,2,1,2,21,Hibernating
12755.0,0,10,5218.71,5,5,5,55,Champions
12758.0,94,5,7111.650000000001,2,4,5,24,At Risk
12759.0,21,5,3489.3,4,4,5,44,Loyal Customers
12760.0,90,1,347.8,2,1,2,21,Hibernating
12761.0,92,2,782.95,2,2,3,22,Hibernating
12763.0,4,1,320.08,5,1,2,51,New Customers
12765.0,107,6,1404.58,2,4,4,24,At Risk
12766.0,1,3,3078.65,5,3,5,53,Potential Loyalists
12767.0,10,1,949.82,5,1,3,51,New Customers
12768.0,85,1,168.69,2,1,1,21,Hibernating
12770.0,91,1,1895.0,2,1,4,21,Hibernating
12771.0,120,1,282.3,2,1,2,21,Hibernating
12773.0,199,1,124.25,1,1,1,11,Hibernating
12774.0,170,1,98.7,2,1,1,21,Hibernating
12775.0,23,2,300.08000000000004,4,2,2,42,Potential Loyalists
12776.0,302,1,55.5,1,1,1,11,Hibernating
12777.0,92,1,519.45,2,1,3,21,Hibernating
12778.0,31,3,953.4499999999999,4,3,3,43,Potential Loyalists
12779.0,6,7,2740.91,5,5,5,55,Champions
12780.0,233,1,337.4,1,1,2,11,Hibernating
12782.0,9,6,2287.32,5,4,5,54,Champions
12784.0,164,1,1230.33,2,1,4,21,Hibernating
12785.0,170,2,788.45,2,2,3,22,Hibernating
12786.0,244,1,728.5,1,1,3,11,Hibernating
12787.0,48,1,398.52,3,1,2,31,About to Sleep
12788.0,98,4,444.90000000000003,2,4,2,24,At Risk
12789.0,147,2,181.5,2,2,1,22,Hibernating
12790.0,45,1,266.93,3,1,2,31,About to Sleep
12791.0,8,6,863.51,5,4,3,54,Champions
12792.0,169,1,426.47,2,1,2,21,Hibernating
12793.0,6,2,471.85,5,2,2,52,Potential Loyalists
12796.0,263,1,381.0,1,1,2,11,Hibernating
12797.0,0,2,552.08,5,2,3,52,Potential Loyalists
12798.0,56,1,1533.89,3,1,4,31,About to Sleep
12799.0,164,1,219.35,2,1,1,21,Hibernating
12800.0,105,3,584.25,2,3,3,23,At Risk
12801.0,135,1,1071.82,2,1,4,21,Hibernating
12802.0,77,6,1988.84,2,4,4,24,At Risk
12803.0,28,1,1092.81,4,1,4,41,Promising
12804.0,100,2,327.02,2,2,2,22,Hibernating
12805.0,16,4,1434.95,4,4,4,44,Loyal Customers
12806.0,70,4,2878.96,3,4,5,34,Loyal Customers
12807.0,18,1,330.34999999999997,4,1,2,41,Promising
12808.0,3,3,422.45,5,3,2,53,Potential Loyalists
12809.0,200,2,1266.63,1,2,4,12,Hibernating
12810.0,169,2,534.99,2,2,3,22,Hibernating
12811.0,13,2,519.0500000000001,5,2,3,52,Potential Loyalists
12813.0,136,3,1687.8,2,3,4,23,At Risk
12817.0,34,2,524.94,4,2,3,42,Potential Loyalists
12819.0,93,1,540.52,2,1,3,21,Hibernating
12820.0,32,7,1747.18,4,5,4,45,Loyal Customers
12821.0,246,1,128.07999999999998,1,1,1,11,Hibernating
12823.0,29,13,4742.0,4,5,5,45,Loyal Customers
12825.0,156,2,518.63,2,2,3,22,Hibernating
12826.0,0,6,1481.03,5,4,4,54,Champions
12829.0,185,1,92.3,1,1,1,11,Hibernating
12831.0,98,2,236.06,2,2,1,22,Hibernating
12835.0,62,41,6043.31,3,5,5,35,Loyal Customers
12836.0,24,11,3972.76,4,5,5,45,Loyal Customers
12837.0,204,1,554.31,1,1,3,11,Hibernating
12838.0,8,9,2715.35,5,5,5,55,Champions
12839.0,2,13,4480.31,5,5,5,55,Champions
12840.0,72,3,1315.2,2,3,4,23,At Risk
12841.0,4,17,3518.33,5,5,5,55,Champions
12842.0,39,2,799.0,3,2,3,32,About to Sleep
12843.0,17,22,4886.15,4,5,5,45,Loyal Customers
12844.0,77,2,322.64,2,2,2,22,Hibernating
12846.0,317,1,15.58,1,1,1,11,Hibernating
12847.0,22,1,765.36,4,1,3,41,Promising
12848.0,310,1,208.0,1,1,1,11,Hibernating
12849.0,16,4,2039.67,4,4,4,44,Loyal Customers
12850.0,80,1,330.0,2,1,2,21,Hibernating
12851.0,112,1,148.95,2,1,1,21,Hibernating
12853.0,62,5,1950.4,3,4,4,34,Loyal Customers
12854.0,196,4,1669.52,1,4,4,14,At Risk
12855.0,7,4,612.84,5,4,3,54,Champions
12857.0,71,4,2581.6,2,4,5,24,At Risk
12858.0,18,1,177.92,4,1,1,41,Promising
12859.0,93,1,575.1,2,1,3,21,Hibernating
12860.0,328,1,55.47,1,1,1,11,Hibernating
12861.0,254,1,68.25,1,1,1,11,Hibernating
12862.0,60,2,1008.3199999999999,3,2,4,32,About to Sleep
12863.0,14,5,2271.35,5,4,5,54,Champions
12864.0,143,1,152.45,2,1,1,21,Hibernating
12865.0,13,2,1755.24,5,2,4,52,Potential Loyalists
12866.0,109,2,668.23,2,2,3,22,Hibernating
12867.0,32,6,3876.47,4,4,5,44,Loyal Customers
12868.0,8,3,640.0,5,3,3,53,Potential Loyalists
12869.0,316,1,337.66999999999996,1,1,2,11,Hibernating
12870.0,10,3,1676.95,5,3,4,53,Potential Loyalists
12871.0,74,1,363.38,2,1,2,21,Hibernating
12872.0,0,11,3085.52,5,5,5,55,Champions
12873.0,32,2,1653.3,4,2,4,42,Potential Loyalists
12874.0,20,2,948.42,4,2,3,42,Potential Loyalists
12875.0,106,3,1013.7600000000001,2,3,4,23,At Risk
12876.0,29,2,1863.77,4,2,4,42,Potential Loyalists
12877.0,36,8,1419.4,3,5,4,35,Loyal Customers
12880.0,16,2,640.13,4,2,3,42,Potential Loyalists
12887.0,18,1,222.4,4,1,1,41,Promising
12889.0,16,4,385.46000000000004,4,4,2,44,Loyal Customers
12890.0,22,1,336.8,4,1,2,41,Promising
12891.0,93,8,509.5,2,5,3,25,Cant Loose
12892.0,31,1,263.38,4,1,2,41,Promising
12894.0,210,1,157.35,1,1,1,11,Hibernating
12897.0,16,2,297.75,4,2,2,42,Potential Loyalists
12898.0,98,2,310.96,2,2,2,22,Hibernating
12899.0,48,1,366.4,3,1,2,31,About to Sleep
12900.0,57,1,340.33000000000004,3,1,2,31,About to Sleep
12903.0,63,1,833.5300000000001,3,1,3,31,About to Sleep
12905.0,211,2,1018.42,1,2,4,12,Hibernating
12907.0,30,2,508.91,4,2,3,42,Potential Loyalists
12908.0,15,3,1026.0,4,3,4,43,Potential Loyalists
12909.0,59,3,924.52,3,3,3,33,Need Attention
12910.0,14,5,2721.48,5,4,5,54,Champions
12911.0,186,1,1680.47,1,1,4,11,Hibernating
12913.0,3,9,4217.23,5,5,5,55,Champions
12914.0,35,1,223.98,4,1,1,41,Promising
12915.0,7,3,811.1,5,3,3,53,Potential Loyalists
12916.0,77,3,1647.87,2,3,4,23,At Risk
12917.0,35,5,3765.2,4,4,5,44,Loyal Customers
12918.0,261,1,10953.5,1,1,5,11,Hibernating
12920.0,206,3,323.86,1,3,2,13,At Risk
12921.0,1,39,19333.95,5,5,5,55,Champions
12923.0,25,2,612.9,4,2,3,42,Potential Loyalists
12924.0,28,8,1535.7,4,5,4,45,Loyal Customers
12925.0,227,1,35.28,1,1,1,11,Hibernating
12926.0,46,4,1548.46,3,4,4,34,Loyal Customers
12927.0,29,1,197.31,4,1,1,41,Promising
12928.0,13,7,2242.19,5,5,5,55,Champions
12931.0,15,42,50291.38,4,5,5,45,Loyal Customers
12932.0,174,8,1698.56,2,5,4,25,Cant Loose
12933.0,15,5,1079.5,4,4,4,44,Loyal Customers
12934.0,371,1,181.65,1,1,1,11,Hibernating
12935.0,10,8,2083.16,5,5,4,55,Champions
12937.0,98,5,1593.34,2,4,4,24,At Risk
12939.0,14,12,13683.0,5,5,5,55,Champions
12941.0,359,1,377.49,1,1,2,11,Hibernating
12942.0,0,1,258.75,5,1,2,51,New Customers
12943.0,193,2,496.5,1,2,2,12,Hibernating
12945.0,291,1,437.16,1,1,2,11,Hibernating
12946.0,71,1,324.45,2,1,2,21,Hibernating
12947.0,8,1,304.04,5,1,2,51,New Customers
12948.0,365,2,252.48,1,2,1,12,Hibernating
12949.0,17,14,11359.48,4,5,5,45,Loyal Customers
12951.0,21,9,2149.65,4,5,5,45,Loyal Customers
12953.0,157,1,498.96,2,1,2,21,Hibernating
12954.0,273,1,162.45,1,1,1,11,Hibernating
12956.0,319,3,413.82,1,3,2,13,At Risk
12957.0,176,5,4689.43,1,4,5,14,At Risk
12958.0,35,2,539.49,4,2,3,42,Potential Loyalists
12959.0,119,1,150.95,2,1,1,21,Hibernating
12960.0,48,4,1322.0700000000002,3,4,4,34,Loyal Customers
12961.0,14,1,211.99,5,1,1,51,New Customers
12963.0,0,5,1744.96,5,4,4,54,Champions
12964.0,72,1,132.24,2,1,1,21,Hibernating
12967.0,6,2,2646.02,5,2,5,52,Potential Loyalists
12969.0,237,1,122.45,1,1,1,11,Hibernating
12970.0,15,6,1072.73,4,4,4,44,Loyal Customers
12971.0,1,33,4782.88,5,5,5,55,Champions
12972.0,48,4,1161.2,3,4,4,34,Loyal Customers
12973.0,48,1,385.55,3,1,2,31,About to Sleep
12974.0,200,1,264.15,1,1,2,11,Hibernating
12975.0,71,6,2100.09,2,4,4,24,At Risk
12976.0,13,7,2417.7799999999997,5,5,5,55,Champions
12977.0,136,3,478.39,2,3,2,23,At Risk
12978.0,20,5,2502.82,4,4,5,44,Loyal Customers
12979.0,364,1,517.7,1,1,3,11,Hibernating
12980.0,21,12,8870.880000000001,4,5,5,45,Loyal Customers
12982.0,29,7,2354.27,4,5,5,45,Loyal Customers
12983.0,233,1,490.08,1,1,2,11,Hibernating
12986.0,63,10,2729.84,3,5,5,35,Loyal Customers
12987.0,55,3,753.51,3,3,3,33,Need Attention
12989.0,59,18,6627.64,3,5,5,35,Loyal Customers
12990.0,52,4,546.0,3,4,3,34,Loyal Customers
12991.0,24,1,261.06,4,1,2,41,Promising
12992.0,360,1,93.35,1,1,1,11,Hibernating
12993.0,80,4,844.87,2,4,3,24,At Risk
12996.0,10,1,355.5,5,1,2,51,New Customers
12997.0,29,4,884.02,4,4,3,44,Loyal Customers
12998.0,127,3,920.08,2,3,3,23,At Risk
13000.0,360,1,497.65,1,1,2,11,Hibernating
13001.0,39,20,14353.28,3,5,5,35,Loyal Customers
13002.0,51,2,293.18,3,2,2,32,About to Sleep
13004.0,21,18,5994.94,4,5,5,45,Loyal Customers
13005.0,66,2,485.98,3,2,2,32,About to Sleep
13007.0,214,1,175.25,1,1,1,11,Hibernating
13008.0,32,2,382.66,4,2,2,42,Potential Loyalists
13009.0,307,1,234.0,1,1,1,11,Hibernating
13010.0,9,2,330.12,5,2,2,52,Potential Loyalists
13011.0,7,1,50.550000000000004,5,1,1,51,New Customers
13012.0,64,3,1310.99,3,3,4,33,Need Attention
13013.0,6,18,7814.83,5,5,5,55,Champions
13014.0,67,1,1914.8,3,1,4,31,About to Sleep
13015.0,73,6,3240.14,2,4,5,24,At Risk
13018.0,48,7,2485.46,3,5,5,35,Loyal Customers
13019.0,14,6,1229.95,5,4,4,54,Champions
13020.0,197,2,618.96,1,2,3,12,Hibernating
13021.0,9,8,2270.86,5,5,5,55,Champions
13022.0,64,1,65.3,3,1,1,31,About to Sleep
13023.0,163,1,759.13,2,1,3,21,Hibernating
13024.0,105,2,555.87,2,2,3,22,Hibernating
13025.0,366,1,323.39,1,1,2,11,Hibernating
13026.0,123,4,757.72,2,4,3,24,At Risk
13027.0,20,13,10423.2,4,5,5,45,Loyal Customers
13029.0,9,2,679.8,5,2,3,52,Potential Loyalists
13030.0,3,1,427.74,5,1,2,51,New Customers
13031.0,42,5,3419.27,3,4,5,34,Loyal Customers
13032.0,27,7,1833.3700000000001,4,5,4,45,Loyal Customers
13033.0,64,1,30.0,3,1,1,31,About to Sleep
13034.0,4,2,279.91,5,2,2,52,Potential Loyalists
13035.0,66,1,442.32,3,1,2,31,About to Sleep
13036.0,319,1,307.1,1,1,2,11,Hibernating
13037.0,34,9,3033.88,4,5,5,45,Loyal Customers
13039.0,219,4,1010.73,1,4,4,14,At Risk
13041.0,85,4,799.13,2,4,3,24,At Risk
13042.0,233,3,1556.54,1,3,4,13,At Risk
13044.0,127,10,4293.43,2,5,5,25,Cant Loose
13045.0,36,2,503.64,3,2,2,32,About to Sleep
13046.0,91,1,319.94,2,1,2,21,Hibernating
13047.0,8,17,5557.62,5,5,5,55,Champions
13048.0,71,5,2248.3,2,4,5,24,At Risk
13049.0,24,2,751.5600000000001,4,2,3,42,Potential Loyalists
13050.0,1,19,6507.67,5,5,5,55,Champions
13051.0,213,2,155.8,1,2,1,12,Hibernating
13052.0,55,6,2820.38,3,4,5,34,Loyal Customers
13053.0,256,1,127.65,1,1,1,11,Hibernating
13055.0,64,1,1106.7,3,1,4,31,About to Sleep
13056.0,186,1,209.48,1,1,1,11,Hibernating
13057.0,165,3,722.09,2,3,3,23,At Risk
13059.0,48,9,2119.77,3,5,4,35,Loyal Customers
13063.0,115,1,188.4,2,1,1,21,Hibernating
13064.0,185,2,561.25,1,2,3,12,Hibernating
13065.0,8,5,1055.05,5,4,4,54,Champions
13067.0,44,2,393.05,3,2,2,32,About to Sleep
13069.0,4,16,5247.01,5,5,5,55,Champions
13070.0,94,3,522.9,2,3,3,23,At Risk
13071.0,247,1,129.22,1,1,1,11,Hibernating
13073.0,46,2,418.08,3,2,2,32,About to Sleep
13074.0,146,4,1378.74,2,4,4,24,At Risk
13076.0,92,1,135.4,2,1,1,21,Hibernating
13077.0,1,8,2335.4,5,5,5,55,Champions
